name,url,rate,director,type,country,year
黑客帝国 The Matrix,https://movie.douban.com/subject/1292052/,9.7,导演: 弗兰克·德拉邦特,类型: 犯罪 / 剧情,制片国家/地区: 美国,年份: 1994
盗梦空间 Inception,https://movie.douban.com/subject/1295124/,9.5,导演: 史蒂文·斯皮尔伯格,类型: 剧情 / 历史 / 战争,制片国家/地区: 美国,年份: 1993
千与千寻 千と千尋の神隠し,https://movie.douban.com/subject/1291841/,9.3,导演: 弗朗西斯·福特·科波拉,类型: 剧情 / 犯罪,制片国家/地区: 美国,年份: 1972
教父2 The Godfather: Part Ⅱ,https://movie.douban.com/subject/1292720/,9.5,导演: 罗伯特·泽米吉斯,类型: 剧情 / 爱情,制片国家/地区: 美国,年份: 1994
七宗罪 Se7en,https://movie.douban.com/subject/1295644/,9.4,导演: 吕克·贝松,类型: 剧情 / 动作 / 犯罪,制片国家/地区: 法国/美国,年份: 1994
阿甘正传 Forrest Gump,https://movie.douban.com/subject/1851857/,9.2,导演: 克里斯托弗·诺兰,类型: 剧情 / 动作 / 科幻 / 犯罪 / 惊悚,制片国家/地区: 美国/英国,年份: 2008
三傻大闹宝莱坞 3 Idiots,https://movie.douban.com/subject/1292063/,9.6,导演: 罗伯托·贝尼尼,类型: 剧情 / 喜剧 / 爱情 / 战争,制片国家/地区: 意大利,年份: 1997
天堂电影院 Nuovo Cinema Paradiso,https://movie.douban.com/subject/1293182/,9.4,导演: 西德尼·吕美特,类型: 剧情,制片国家/地区: 美国,年份: 1957
指环王3：王者无敌 The Lord of the Rings: The Return of the King,https://movie.douban.com/subject/3541415/,9.3,导演: 克里斯托弗·诺兰,类型: 剧情 / 科幻 / 悬疑 / 冒险,制片国家/地区: 美国/英国,年份: 2010
星际穿越 Interstellar,https://movie.douban.com/subject/1291561/,9.4,导演: 宫崎骏,类型: 剧情 / 动画 / 奇幻,制片国家/地区: 日本,年份: 2001
辛德勒的名单 Schindler's List,https://movie.douban.com/subject/1291552/,9.3,导演: 彼得·杰克逊,类型: 剧情 / 动作 / 奇幻 / 冒险,制片国家/地区: 美国/新西兰,年份: 2003
指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,https://movie.douban.com/subject/1299131/,9.2,导演: 弗朗西斯·福特·科波拉,类型: 剧情 / 犯罪,制片国家/地区: 美国,年份: 1974
飞越疯人院 One Flew Over the Cuckoo's Nest,https://movie.douban.com/subject/1292000/,9.0,导演: 大卫·芬奇,类型: 剧情 / 动作 / 悬疑 / 惊悚,制片国家/地区: 美国/德国/意大利,年份: 1999
机器人总动员 WALL·E,https://movie.douban.com/subject/2131459/,9.3,导演: 安德鲁·斯坦顿,类型: 科幻 / 动画 / 冒险,制片国家/地区: 美国,年份: 2008
沉默的羔羊 The Silence of the Lambs,https://movie.douban.com/subject/1291832/,8.9,导演: 昆汀·塔伦蒂诺,类型: 剧情 / 喜剧 / 犯罪,制片国家/地区: 美国,年份: 1994
教父 The Godfather,https://movie.douban.com/subject/1291828/,9.2,导演: 朱塞佩·托纳多雷,类型: 剧情 / 爱情,制片国家/地区: 意大利/法国,年份: 1988
触不可及 Intouchables,https://movie.douban.com/subject/1889243/,9.3,导演: 克里斯托弗·诺兰,类型: 剧情 / 科幻 / 冒险,制片国家/地区: 美国/英国/加拿大,年份: 2014
低俗小说 Pulp Fiction,https://movie.douban.com/subject/6786002/,9.3,导演: 奥利维埃·纳卡什 / 埃里克·托莱达诺,类型: 剧情 / 喜剧,制片国家/地区: 法国,年份: 2011
